HolderAddress,Balance
0xb37e217aced8ce13133aa3592c3ac4afbde81407,2456830.271
0x273961b7ce4f6dc965bfe55ea7d9085507b54f50,149950.3927
0xaef3465bb15ffdd089a912e2e6539f1e66de246f,4.235689624
0x3a03854b0798358668e338a1f11f33b404b8bd36,7219800
0x1130f38fcd88cecd40b78b687da2f7e98dbbedf5,8786085.153
0x7980b0e013b59c8ce8456322643f2d8cc3eb60ea,95291066.06
0x47b1a8c47f852aa6374a72ea8b57533152381ce5,34057800
0xadc9f4acad9670262f50cf979f2965bc444b079d,21705180.95
0x5a3b6f18dc79d50ab208af2fcd61d10bf7e4896f,5131791.597
0x6bc77d3ee68ea379b9de15111178112319bf9e5d,26726861.53
0x8998a9582571fea873802d42f49d75510418fe37,416987.8714
0x502270b7d41094610141909d5a6267ecacb5c1e7,27482.66564
0x99f7f16b703f214e78810739a776221828949e63,23006841.59
0xa683b819e07eefaf30ef9e267b868f9cba5a1c75,10654083.44
0xe7a7d0046d3c90ebf08dd747b351410d7667468e,4.00E-09
0xb2fc378e4214ae115fbbaec2480932ad47df1749,32999400
0xef5b29173d68ea64d084d71e62c31bad450e8d63,12605040
0x625677773da70262063ead76c258f772655692af,60858000
0x8872dd28c73430614ed0fbfa8c4919b3e737cd44,939763.1343
0x8e2e5379c18aae1661cadf3b563c56f293ad9d00,18674107.48
0x1aba927b2d73c93125984701a6198102580dfcfa,36616644.03
0x0667a878c8478994fa0de826bca59b1b26327993,1246.908985
0x13335991d328c241f5abeb86ad9749fdbc08370f,19.11830952
0x88bf2ef210c633a35b4ee6962f966d6438c8baf9,181500.8863
0x22abe4d77e205020a2f633b57fe3a3e7aa199d5c,5934981.196
0x936304e136834f39f8e67cb428a022d6c732914e,247189.314
0x09892a824a717baff154bbb3a69747822e7b522c,3589563.008
0xbc7d0178f03883b7be2713135d329435a9556149,0.191045405
0x68fb21d0a99f9769ea72cd0d78b2c48269cfc3fd,6.703532815
0x184a00256b4ee0fb04ab5ee06dcc4e2ad651c015,9305955.605
0x38082eaebe17c9ec0e81a1f5d3164b1d1ed51c62,5920.457205
0x3066bce1eec31ffd5e595a4289d933adfb56cbf6,25475170
0x2b6959b7cb8dd8c386678ee42ad73fb848d098bc,7.34195978
0x9276eea4e01d8e2de0bbcde2d97d65936b2ec212,477349.8094
0x58f81cc0084d6ba6f7c0b586d49213d4c86ff6dc,25.96546549
0x8731193040c8236046058d1387279229762a6057,8000080.27
0x5d0a2e94e56fffdbca7c0ba8cbeb9b0b48b3d024,2070491.008
0xc049af1828d1f3e30fa0588b2ad0eb098e874579,9762290.492
0xd6c26b87b3e506764c8b2eabb63a06b90da8a72a,8507.991793
0x26aac065f7825c9791d772e749cdfbdc4a5cf81f,367.1782344
0x96f3f15bbf576d917af1f0a87a8b3c68a67f524c,495325.0989
0x6d8c7034f3ebf2fa2386af9ce5df81d040d2643d,8023879.926
0x5d375e1a55db826144fa9786624fe7f7a717c0c4,0.000703548
0xc8a080b1443e83493db804aca8f52bcc1bda1fd1,0.365588176
0x4484a9147b875e5c2a013444955d36c4cc0a80f2,162425.3048
0x414471650fa9435885f24209fcf8b4db6762ea80,2563135.68
0x90255c6cdb661bbba3089842c38a21e46328af71,83583.75649
0x695f0f75309f2624451c20eb60c550f6096f5530,0.232503223
0x7d4d52a2a80ea0f516088b172960ef9a7e91f0d0,1004708.243
0x23ea7db9296de4b91099fca7d5e69cf8c88fdf22,1079528.433
0xb7960022d07d6c09ae781a9ec2c9052ce5fe5688,17801.78729
0x6fb62f023597cc9c5f162fd555c44731baeb3a13,8.83E-05
0x28397b5c3b2dfc4ff3c945accc1ea648dd1c62c3,3317139.606
0xad78940d57b39d291952c954d714ecc8a4ae83e5,0.028075353
0x627b2e7956d881a8c0c5f4be2944048b79c92815,23393265.68
0xec080279987612db0f381795b5874ec7d5a5823a,3448320.057
0x4c94aa317b70adde36198a3458810af59f9c4d80,15117.66826
0x51d33bca8270092851d5c2563858641fe76a86b2,0.000123715
0x0108680b2b5156095ff171d21120284bfe008c0c,22891.27291
0xa7d146b9d3a3bd50436257fd50425d19dc5017ac,23986551.87
0x369853ba54e6b3ae771398fec1168901c605ddf0,9.125629934
0xf20a40cc4048067aebae183482f42709068ad705,6686266.997
0xec620fa825ea40c66ac65219c9c100daf181a396,2707978.761
0x7c3271e1668575837ca433649b7125f9fb9bd324,16298755.33
0xaa3e1550dc5301e1cf7960e3ad68997ce9d8b224,354227.8782
0x14cc01dd5bf9b34ff4acaef668d915865003481c,1290972.865
0xbcc713cea604dc240022e65c2f62489ce1bad8eb,2639089.257
0x14a134324abfa7f9cfa38bc064b66e325efe8638,39217743.97
0xdc5ba9185123b941e4c4d7b1986847351fbadd32,8056852.127
0x5a219ed09116d23ff2149e8f3aa1fe06a17c2cfd,7406930.108
0x4bb66b176e0379a11bc09b97473d0505c309ff92,77835.72722
0x562f86d2212c04c7275fdc31b68fb4cc87f050c0,2527049.416
0x1460cf39600b485cffa0ca49597145674161d35e,5547415.242
0x930ea58e4a22ef1bf2cf7aadb4bab6f0fa722928,21502366.06
0x695b451495a4f70fd973e92017e08aff1bd9b8ae,57798.62959
0xfcd91e41c11762c482455caff8bf4e46cfc7f781,203779.5469
0x701eb8bc0128934d4f74f5ebb7dab32681111c71,1261646.416
0x23a2778678526b0cd2077f911183876cc9c0bf4f,1435241.919
0xaa60f696b328e1c7e1d6e9ba9bdcd4dcea4f7f61,10059951.77
0xeb7caf52f115bcc87864f3a335dc2692a3fb3f8f,0.548683814
0x8e7fed40ed18fa2e47b4a6ca92610606366b8841,325929.4957
0x67590a411561c7f7c21a34c5383b1c544824127c,0.085813966
0x636d078d65405b78a62ecb02aee2c676db869553,119.8345794
0xcd813d34b306e4881e51921f75f2378807de4e0e,18.42107533
0xf8a2f89c777d997d103b8275d4cc873ae274f417,1601180.052
0xa38300ed275828bfcd23657f15ef368ae1b4b019,147937.9712
0xf5781eb7ca349e90a5c45d97c704c7ec9792b46b,2843825.197
0x955fd77ecf746d9a625f185800cabebc76b218d7,194453.3827
0xcbf9edb6a8dc93d606a11a7e0fd3a25ffa960c9b,367217.457
0x222d7d44b72f39bface84d8f2cc6cea8eb6d9575,1.245002715
0x864aa70f2e59476ad7e094b9e6bd0339f866d437,18.17089217
0xd681dddc0b069a0d080d44d7e19a8b4acbda1c5a,131793671.6
